 ASIGNATURA;TEMA O CONCEPTO;SOLO;BLOOM;TEMA_CLASIFICADO
ESTRUCTURAS DE DATOS;Listas enlazadas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Ordenamiento;Abstracto Extendido;Analizar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Bases de Datos _ Código en Java ;Abstracto Extendido;Aplicar;Programación Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Base de Datos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;Objetivos proyecto ingeniería de sw;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;Metodologías;Abstracto Extendido;Evaluar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuación de recurrencia;Multiestructural;Aplicar;Programación Java
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuaciones de recurrencia;Multiestructural;Aplicar;Programación Java
INGENIERÍA DE SOFTWARE;Diagrama de Clases;Abstracto Extendido;Evaluar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Aplicación de cadenas de markov en análisis de datos;Relacional;Analizar;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;TEORÍA DE COLAS MMm MULTICANAL;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
INGENIERÍA WEB;Uso de Sistema de Control de Versiones;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Manejo de repositorios en forma de equipo;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Manejo de comandos en Terminal -Actividades;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Introduccion manejo de ramas en VCS;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Diagramas en Markdown;Abstracto Extendido;Aplicar;Algoritmia
INGENIERÍA WEB;Explicación FastAPI;Relacional;Comprender;Otros
INGENIERÍA WEB;Criterios de aceptación WEB;Abstracto Extendido;Aplicar;Investigación
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Dudas del estudiante en las temáticas de la clase;Preestructural;Recordar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos ;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos ;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones recursivas;Preestructural;Recordar;Algoritmia
PROGRAMACIÓN IMPERATIVA;Dudas array;Preestructural;Recordar;Programación Java
ESTRUCTURAS DE DATOS;referencia en pilas;Abstracto Extendido;Analizar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programas de recurrencias;Multiestructural;Aplicar;Otros
INGENIERÍA WEB;Conexión con repositorios remotos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Acompañamiento Arquitectura Proyecto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Conexión y Configuración Credenciales Gitlab;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Acompañamiento Proyecto y Objetivos;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación de requerimientos para aplicación;NO HAY VERBO;NO HAY VERBO;Investigación
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos ;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Manejo de cadenas en C ;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas Funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Manejo de librería time.h;Abstracto Extendido;Aplicar;Programación Java
PROGRAMACIÓN IMPERATIVA;Dudas recursividad;Preestructural;Recordar;Algoritmia
PROGRAMACIÓN IMPERATIVA;consulta ;Abstracto Extendido;Aplicar;Otros
ESTRUCTURAS DE DATOS;Pilas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Dudas en tema pilas;Preestructural;Recordar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Programa en Java - Librería Swing ;Abstracto Extendido;Aplicar;Programación Java
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computacional;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;programas recurrencia Java;Abstracto Extendido;Aplicar;Programación Java
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
INGENIERÍA WEB;Conexión con repositorios remotos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Conexión repositorio en servidor remoto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Proyecto en repo remoto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Introduccion manejo de ramas en VCS;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Proyectos remotos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Revisión Criterios de Aceptación PI;Multiestructural;Comprender;Otros
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Aplicaciones de sistemas distribuidos. ;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Construcción de problema;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN IMPERATIVA;Dudas Funciones en C++;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Pilas;Abstracto Extendido;Analizar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Aclaración relaciones del Diagrama de clases UML;Abstracto Extendido;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programas de recurrencia Java ;Abstracto Extendido;Aplicar;Programación Java
ARQUITECTURA DE SOFTWARE;Validación del alcance del entregable final;Abstracto Extendido;Analizar;Investigación
ESTRUCTURAS DE DATOS;estructuras anidadas;Abstracto Extendido;Analizar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;complejidad computacional ecuaciones de recurrencia temas de examen;Multiestructural;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas ;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
PROGRAMACIÓN IMPERATIVA;Solicitud de aclaración de dudas por parte el estudiante;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas ;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones recursivas;Abstracto Extendido;Aplicar;Algoritmia
PROGRAMACIÓN IMPERATIVA;Dudas arra;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
INGENIERÍA DE SOFTWARE;Modelo vista controlador;Abstracto Extendido;Evaluar;Proyecto Integrador
INGENIERÍA WEB;Especificación de Casos de uso;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones en c++;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones recursivas;Preestructural;Recordar;Algoritmia
PROGRAMACIÓN IMPERATIVA;Dudas array;Preestructural;Recordar;Programación Java
PROGRAMACIÓN IMPERATIVA;Taller de ciclos;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas Taller C++;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas arreglos;Preestructural;Recordar;Otros
INGENIERÍA DE SOFTWARE;Atención por remisión debido a perdida de asignaturas en el primer corte reporta 17 en Ingeniería de Software y 14 Seguridad Informática ;Multiestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;medidas de tendencia central;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
PROGRAMACIÓN IMPERATIVA;Dudas funciones;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Colas simplemente enlazadas;Abstracto Extendido;Analizar;Otros
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Aplicaciones de Docker en sistemas distribuidos. ;NO HAY VERBO;NO HAY VERBO;Otros
ARQUITECTURA DE SOFTWARE;Revisión de acceso a los servidores de la DIMAR;Multiestructural;Comprender;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;DPOO - Aclaración relaciones del Diagrama de clases UML;Abstracto Extendido;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programas en Java métodos de recurrencia.;Abstracto Extendido;Aplicar;Programación Java
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Programa en Java ;Abstracto Extendido;Aplicar;Programación Java
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;cadenas de markov;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
PROGRAMACIÓN IMPERATIVA;dudas funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas Taller de funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones recursivas;Preestructural;Recordar;Algoritmia
ESTRUCTURAS DE DATOS;Pilas y parametros por referencia;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Proyecto Colas;Abstracto Extendido;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programas en Java clases y métodos;Abstracto Extendido;Aplicar;Programación Java
ARQUITECTURA DE SOFTWARE;Completitud de documento de requerimientos;Abstracto Extendido;Analizar;Otros
INGENIERÍA WEB;Revision Endpoints;Multiestructural;Comprender;Otros
INGENIERÍA WEB;Configuración Templates;Abstracto Extendido;Aplicar;Programación Java
INGENIERÍA WEB;Manejo de proyectos WEB en Repositorio Remoto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Servicios WEB API;Multiestructural;Aplicar;Otros
INGENIERÍA WEB;Solución dudas selectores interfaces responsivas;Preestructural;Recordar;Algoritmia
INGENIERÍA WEB;Análisis de Endpoints;Relacional;Analizar;Investigación
INGENIERÍA WEB;Ajustes de API;Multiestructural;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Instrumento de validación de datos para estudio estocástico con cadenas de Markov;NO HAY VERBO;NO HAY VERBO;Investigación
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadena de Markov;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoria de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
PROGRAMACIÓN IMPERATIVA;Estructuras Repetitivas;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones;Preestructural;Recordar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Programa en Java;Abstracto Extendido;Aplicar;Programación Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Diseño y POO - Código Java ;Abstracto Extendido;Aplicar;Programación Java
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programas de palíndromos concatenación prefijos y sufijos presentación.;Relacional;Crear;Algoritmia
PROGRAMACIÓN IMPERATIVA;Dudas funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas de funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones recursivas;Preestructural;Recordar;Algoritmia
PROGRAMACIÓN IMPERATIVA;Recursividad y funciones internas de C ;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas array;Preestructural;Recordar;Programación Java
ESTRUCTURAS DE DATOS;Dudas sobre el tema colas;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Aclaración dudas relaciones en un diagrama de clases;Preestructural;Recordar;Otros
INGENIERÍA DE SOFTWARE;Capa de presentación;Relacional;Crear;Otros
INGENIERÍA DE SOFTWARE;Modelo vista controlador;Abstracto Extendido;Evaluar;Proyecto Integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;Sumatoria Finita Java;Abstracto Extendido;Aplicar;Programación Java
INGENIERÍA WEB;Especificación de Casos de uso;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Aplicaciones de Docker en sistemas distribuidos;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones en c++;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Consulta problema Colas;Abstracto Extendido;Analizar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;programas java;Abstracto Extendido;Aplicar;Programación Java
INGENIERÍA WEB;FastAPI Gestión de archivos;Multiestructural;Aplicar;Otros
INGENIERÍA WEB;Ajustes presentación cuestionario;Relacional;Crear;Otros
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Aplicaciones de sistemas distribuidos.;NO HAY VERBO;NO HAY VERBO;Otros
ARQUITECTURA DE SOFTWARE;Alcance de objetivo ;Abstracto Extendido;Analizar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Remision;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas taller de ciclos;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas ciclos;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas Taller C++;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas arreglos;Preestructural;Recordar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Ide Eclipse;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas array;Preestructural;Recordar;Programación Java
ESTRUCTURAS DE DATOS;Estructuras de datos colas simplemente enlazadas;Abstracto Extendido;Analizar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Sumatoria finita en Java;Abstracto Extendido;Aplicar;Programación Java
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Acompañamiento repositorio remoto;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación requerimientos para criterios de aceptación 1;NO HAY VERBO;NO HAY VERBO;Investigación
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación requerimientos y alcance de proyecto de automatización;Abstracto Extendido;Aplicar;Investigación
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Consulta sobre Selenium;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Arquitectura de los objetivos ;NO HAY VERBO;NO HAY VERBO;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos ;Abstracto Extendido;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Funciones Java Script;Abstracto Extendido;Aplicar;Programación JavaScript
INGENIERÍA DE SOFTWARE;Algoritmo Round Robin y Memoria Dinamica;Abstracto Extendido;Evaluar;Algoritmia
INGENIERÍA DE SOFTWARE;Crear Leer Actualizar y Borrar CRUD;Abstracto Extendido;Crear;Programación Java
PROGRAMACIÓN IMPERATIVA;Dudas ciclos;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Listas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Listas simples;Abstracto Extendido;Analizar;Programación Python
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de Prim;Multiestructural;Aplicar;Algoritmia
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Aplicación de las cadenas de Markov en análisis de datos ;Relacional;Analizar;Estadística y Matemáticas
INGENIERÍA WEB;Instalación Sistema Operativo;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Cascading Style Sheets;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Conexion a repositorio remoto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Clonación de Repositorio;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Clonación proyecto gitlabpages;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Solución dudas endpoints;Preestructural;Recordar;Otros
INGENIERÍA WEB;Test unitarios kotlin;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Manejo de GITLAB para trabajo colaborativo;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Acompañamiento Java_Home para taller;Abstracto Extendido;Aplicar;Programación Java
INGENIERÍA WEB;Instalación SDK;Abstracto Extendido;Aplicar;Programación VBA
INGENIERÍA WEB;Proyectos en repositorio remoto;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;JSON - seguimiento riesgo de reprobar;Relacional;Aplicar;Otros
ESTRUCTURAS DE DATOS;Consulta estructuras pilas y colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Manejo de archivos y listas;Abstracto Extendido;Analizar;Programación Python
INGENIERÍA WEB;Project Charter;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Definición de Sistema o aplicación web;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Diseño del sistema web;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;Definición de arquitectura de nube para juegos;Abstracto Extendido;Analizar;Otros
INGENIERÍA WEB;Documentación Proyecto Integrador en Repositorio Remoto;Abstracto Extendido;Aplicar;Proyecto Integrador
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Lineamientos desarrollo aplicación;Abstracto Extendido;Aplicar;Programación Java
INGENIERÍA WEB;Validación scope para propuestas de proyecto;Abstracto Extendido;Aplicar;Investigación
INGENIERÍA WEB;Levantamiento de información para definición de historias de usuario;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Normas de Gestion Documental;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Diferencias entre objetivos especificos y generales de las herramientas SW;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Determinación de arquitectura SGC;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Validación objetivos de la arquitectura;Abstracto Extendido;Evaluar;Investigación
INGENIERÍA WEB;Construccion de preguntas problema para la arquitectura web;Preestructural;Recordar;Proyecto Integrador
INGENIERÍA WEB;Arquitectura de la nube;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Preparación del despliegue;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Metodos de validación producto desplegado;Abstracto Extendido;Aplicar;Investigación
INGENIERÍA WEB;Documentación de repositorio en proyecto web;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Remisión ;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas taller de ciclos;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Taller C++;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos ;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos;Abstracto Extendido;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Problema de la mochila;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;problema de la mochila;Multiestructural;Aplicar;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Retrofit Criterios;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Testeo app;NO HAY VERBO;NO HAY VERBO;Investigación
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
INGENIERÍA WEB;Despliegue en servidor DETA;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación de requerimientos para aplicación;NO HAY VERBO;NO HAY VERBO;Investigación
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Análisis de trama de datos;Relacional;Analizar;Otros
INGENIERÍA WEB;consideraciones del alcance para el prototipo;Abstracto Extendido;Aplicar;Investigación
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Colas simplemente enlazadas problema práctico;Abstracto Extendido;Analizar;Estadística y Matemáticas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación requerimientos para criterios de aceptación 1;NO HAY VERBO;NO HAY VERBO;Investigación
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Redirección de endpoint;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas;Relacional;Analizar;Estadística y Matemáticas
ARQUITECTURA DE SOFTWARE;Definición y alcande de la aplicación a desarrollar;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Acompañamiento en Play Store Console;NO HAY VERBO;NO HAY VERBO;Algoritmia
ARQUITECTURA DE SOFTWARE;Definición del alcance del proyecto;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;Definición de metodología de desarrollo;Abstracto Extendido;Aplicar;Programación Java
ARQUITECTURA DE SOFTWARE;Definición del alcance del entregable del software;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Definición de los objetivos y alcance del SW;Abstracto Extendido;Analizar;Investigación
ARQUITECTURA DE SOFTWARE;Revisión de alcance de software;Multiestructural;Comprender;Otros
ARQUITECTURA DE SOFTWARE;Revisión general del alcance del anteproyecto ;Multiestructural;Comprender;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas;Relacional;Analizar;Estadística y Matemáticas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Pruebas de funcionalidad;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Criterios aceptacion - Retrofit;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones;Preestructural;Recordar;Otros
ESTRUCTURAS DE DATOS;Listas en lazadas ;Abstracto Extendido;Analizar;Programación Python
INGENIERÍA WEB;Conexión con repositorios remotos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Acompañamiento arquitectura proyecto;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;procesos de arquitectura de software ;Abstracto Extendido;Analizar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Revisión de correcciones proyecto;Multiestructural;Comprender;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;revisión de objetivos;Multiestructural;Comprender;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Instrucciones Repetitivas;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones recursivas;Abstracto Extendido;Aplicar;Algoritmia
PROGRAMACIÓN IMPERATIVA;proyecto de clase;Abstracto Extendido;Aplicar;Otros
ESTRUCTURAS DE DATOS;Constructores y destructores en Estructuras anidadas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;problemas con colas de enlace simple;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Dudas C++;Preestructural;Recordar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Aclaración dudas relaciones en un diagrama de clases ;Preestructural;Recordar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Límites de sumatoria;Multiestructural;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de Colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ARQUITECTURA DE SOFTWARE;Validación del alcance del entregable final;Abstracto Extendido;Analizar;Investigación
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Dudas en las temáticas vistas en clase;Preestructural;Recordar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto de estocásticos;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Practica de presentación de proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Correcciones de proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto ;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Project Charter;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Diseño del sistema web;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones en C++;Preestructural;Recordar;Otros
PROGRAMACIÓN IMPERATIVA;Dudas funciones recursivas;Preestructural;Recordar;Algoritmia
PROGRAMACIÓN IMPERATIVA;proyecto de clase c++;Abstracto Extendido;Aplicar;Otros
ESTRUCTURAS DE DATOS;Estructuras anidadas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Actividad proyecto práctico;Abstracto Extendido;Aplicar;Otros
ESTRUCTURAS DE DATOS;listas simplemente encadenadas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Dudas acerca de C++;Preestructural;Recordar;Otros
