 ASIGNATURA;TEMA O CONCEPTO
INGENIERÍA DE SOFTWARE;Atención por remisión debido a perdida de asignaturas en el primer corte reporta 17 en Ingeniería de Software y 14 Seguridad Informática 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;medidas de tendencia central
PROGRAMACIÓN IMPERATIVA;Dudas funciones
ESTRUCTURAS DE DATOS;Colas simplemente enlazadas
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Aplicaciones de Docker en sistemas distribuidos. 
ARQUITECTURA DE SOFTWARE;Revisión de acceso a los servidores de la DIMAR
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;DPOO - Aclaración relaciones del Diagrama de clases UML
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programas en Java métodos de recurrencia.
ESTRUCTURAS DE DATOS;Colas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Programa en Java 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;cadenas de markov
PROGRAMACIÓN IMPERATIVA;dudas funciones
PROGRAMACIÓN IMPERATIVA;Dudas Taller de funciones
PROGRAMACIÓN IMPERATIVA;Dudas funciones recursivas
ESTRUCTURAS DE DATOS;Pilas y parametros por referencia
ESTRUCTURAS DE DATOS;Proyecto Colas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programas en Java clases y métodos
ARQUITECTURA DE SOFTWARE;Completitud de documento de requerimientos
INGENIERÍA WEB;Revision Endpoints
INGENIERÍA WEB;Configuración Templates
INGENIERÍA WEB;Manejo de proyectos WEB en Repositorio Remoto
INGENIERÍA WEB;Servicios WEB API
INGENIERÍA WEB;Solución dudas selectores interfaces responsivas
INGENIERÍA WEB;Análisis de Endpoints
INGENIERÍA WEB;Ajustes de API
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Instrumento de validación de datos para estudio estocástico con cadenas de Markov
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadena de Markov
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoria de colas
PROGRAMACIÓN IMPERATIVA;Estructuras Repetitivas
PROGRAMACIÓN IMPERATIVA;Dudas funciones
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Programa en Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Diseño y POO - Código Java 
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programas de palíndromos concatenación prefijos y sufijos presentación.
PROGRAMACIÓN IMPERATIVA;Dudas funciones
PROGRAMACIÓN IMPERATIVA;Dudas de funciones
PROGRAMACIÓN IMPERATIVA;Dudas funciones recursivas
PROGRAMACIÓN IMPERATIVA;Recursividad y funciones internas de C 
PROGRAMACIÓN IMPERATIVA;Dudas array
ESTRUCTURAS DE DATOS;Dudas sobre el tema colas
ESTRUCTURAS DE DATOS;Colas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Aclaración dudas relaciones en un diagrama de clases
INGENIERÍA DE SOFTWARE;Capa de presentación
INGENIERÍA DE SOFTWARE;Modelo vista controlador
ANÁLISIS Y DISEÑO DE ALGORITMOS;Sumatoria Finita Java
INGENIERÍA WEB;Especificación de Casos de uso
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Aplicaciones de Docker en sistemas distribuidos
PROGRAMACIÓN IMPERATIVA;Dudas funciones en c++
ESTRUCTURAS DE DATOS;Consulta problema Colas
ANÁLISIS Y DISEÑO DE ALGORITMOS;programas java
INGENIERÍA WEB;FastAPI Gestión de archivos
INGENIERÍA WEB;Ajustes presentación cuestionario
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Aplicaciones de sistemas distribuidos.
ARQUITECTURA DE SOFTWARE;Alcance de objetivo 
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones
PROGRAMACIÓN IMPERATIVA;Remision
PROGRAMACIÓN IMPERATIVA;Dudas taller de ciclos
PROGRAMACIÓN IMPERATIVA;Dudas ciclos
PROGRAMACIÓN IMPERATIVA;Dudas Taller C++
PROGRAMACIÓN IMPERATIVA;Dudas arreglos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Ide Eclipse
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones
PROGRAMACIÓN IMPERATIVA;Dudas array
ESTRUCTURAS DE DATOS;Estructuras de datos colas simplemente enlazadas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Sumatoria finita en Java
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Acompañamiento repositorio remoto
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación requerimientos para criterios de aceptación 1
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación requerimientos y alcance de proyecto de automatización
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Consulta sobre Selenium
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Arquitectura de los objetivos 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos 
ANÁLISIS Y DISEÑO DE ALGORITMOS;Funciones Java Script
INGENIERÍA DE SOFTWARE;Algoritmo Round Robin y Memoria Dinamica
INGENIERÍA DE SOFTWARE;Crear Leer Actualizar y Borrar CRUD
PROGRAMACIÓN IMPERATIVA;Dudas ciclos
ESTRUCTURAS DE DATOS;Listas
ESTRUCTURAS DE DATOS;Listas simples
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de Prim
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Aplicación de las cadenas de Markov en análisis de datos 
INGENIERÍA WEB;Instalación Sistema Operativo
INGENIERÍA WEB;Cascading Style Sheets
INGENIERÍA WEB;Conexion a repositorio remoto
INGENIERÍA WEB;Clonación de Repositorio
INGENIERÍA WEB;Clonación proyecto gitlabpages
INGENIERÍA WEB;Solución dudas endpoints
INGENIERÍA WEB;Test unitarios kotlin
INGENIERÍA WEB;Manejo de GITLAB para trabajo colaborativo
INGENIERÍA WEB;Acompañamiento Java_Home para taller
INGENIERÍA WEB;Instalación SDK
INGENIERÍA WEB;Proyectos en repositorio remoto
INGENIERÍA WEB;JSON - seguimiento riesgo de reprobar
ESTRUCTURAS DE DATOS;Consulta estructuras pilas y colas
ESTRUCTURAS DE DATOS;Manejo de archivos y listas
INGENIERÍA WEB;Project Charter
INGENIERÍA WEB;Definición de Sistema o aplicación web
INGENIERÍA WEB;Diseño del sistema web
ARQUITECTURA DE SOFTWARE;Definición de arquitectura de nube para juegos
INGENIERÍA WEB;Documentación Proyecto Integrador en Repositorio Remoto
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Lineamientos desarrollo aplicación
INGENIERÍA WEB;Validación scope para propuestas de proyecto
INGENIERÍA WEB;Levantamiento de información para definición de historias de usuario
INGENIERÍA WEB;Normas de Gestion Documental
INGENIERÍA WEB;Diferencias entre objetivos especificos y generales de las herramientas SW
INGENIERÍA WEB;Determinación de arquitectura SGC
INGENIERÍA WEB;Validación objetivos de la arquitectura
INGENIERÍA WEB;Construccion de preguntas problema para la arquitectura web
INGENIERÍA WEB;Arquitectura de la nube
INGENIERÍA WEB;Preparación del despliegue
INGENIERÍA WEB;Metodos de validación producto desplegado
INGENIERÍA WEB;Documentación de repositorio en proyecto web
PROGRAMACIÓN IMPERATIVA;Remisión 
PROGRAMACIÓN IMPERATIVA;Dudas taller de ciclos
PROGRAMACIÓN IMPERATIVA;Taller C++
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos
ANÁLISIS Y DISEÑO DE ALGORITMOS;Problema de la mochila
ANÁLISIS Y DISEÑO DE ALGORITMOS;problema de la mochila
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Retrofit Criterios
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Testeo app
ESTRUCTURAS DE DATOS;Colas
ESTRUCTURAS DE DATOS;Colas
INGENIERÍA WEB;Despliegue en servidor DETA
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación de requerimientos para aplicación
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Análisis de trama de datos
INGENIERÍA WEB;consideraciones del alcance para el prototipo
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones
ESTRUCTURAS DE DATOS;Colas simplemente enlazadas problema práctico
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación requerimientos para criterios de aceptación 1
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Redirección de endpoint
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas
ARQUITECTURA DE SOFTWARE;Definición y alcande de la aplicación a desarrollar
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Acompañamiento en Play Store Console
ARQUITECTURA DE SOFTWARE;Definición del alcance del proyecto
ARQUITECTURA DE SOFTWARE;Definición de metodología de desarrollo
ARQUITECTURA DE SOFTWARE;Definición del alcance del entregable del software
ARQUITECTURA DE SOFTWARE;Definición de los objetivos y alcance del SW
ARQUITECTURA DE SOFTWARE;Revisión de alcance de software
ARQUITECTURA DE SOFTWARE;Revisión general del alcance del anteproyecto 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Pruebas de funcionalidad
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Criterios aceptacion - Retrofit
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones
ESTRUCTURAS DE DATOS;Listas en lazadas 
INGENIERÍA WEB;Conexión con repositorios remotos
INGENIERÍA WEB;Acompañamiento arquitectura proyecto
ARQUITECTURA DE SOFTWARE;procesos de arquitectura de software 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Revisión de correcciones proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;revisión de objetivos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto
PROGRAMACIÓN IMPERATIVA;Instrucciones Repetitivas
PROGRAMACIÓN IMPERATIVA;Funciones recursivas
PROGRAMACIÓN IMPERATIVA;proyecto de clase
ESTRUCTURAS DE DATOS;Constructores y destructores en Estructuras anidadas
ESTRUCTURAS DE DATOS;problemas con colas de enlace simple
ESTRUCTURAS DE DATOS;Dudas C++
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Aclaración dudas relaciones en un diagrama de clases 
ANÁLISIS Y DISEÑO DE ALGORITMOS;Límites de sumatoria
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de Colas
ARQUITECTURA DE SOFTWARE;Validación del alcance del entregable final
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Dudas en las temáticas vistas en clase
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto de estocásticos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Practica de presentación de proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Correcciones de proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Proyecto 
INGENIERÍA WEB;Project Charter
INGENIERÍA WEB;Diseño del sistema web
PROGRAMACIÓN IMPERATIVA;Dudas funciones en C++
PROGRAMACIÓN IMPERATIVA;Dudas funciones recursivas
PROGRAMACIÓN IMPERATIVA;proyecto de clase c++
ESTRUCTURAS DE DATOS;Estructuras anidadas
ESTRUCTURAS DE DATOS;Actividad proyecto práctico
ESTRUCTURAS DE DATOS;listas simplemente encadenadas
ESTRUCTURAS DE DATOS;Dudas acerca de C++
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Revisión Diagrama de Clases 
INGENIERÍA DE SOFTWARE;BPM
INGENIERÍA DE SOFTWARE;Definición de requerimientos 
INGENIERÍA DE SOFTWARE;Preguntas capa de presentación
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computacional en proyecto integrador
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Introducción a Diseño y Programación Orientada a Objetos 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Promedio académico 
CONSTRUCCIÓN DE SOFTWARE;desarrollo web
CONSTRUCCIÓN DE SOFTWARE;programación web
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;android studio
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;DPOO - Aclaración relaciones del Diagrama de clases UML
ANÁLISIS Y DISEÑO DE ALGORITMOS;Programas en Java clases y métodos.
PROGRAMACIÓN IMPERATIVA;Dudas funciones en c++
PROGRAMACIÓN IMPERATIVA;Dudas taller de funciones
PROGRAMACIÓN IMPERATIVA;Dudas sobre manejo de funciones en C
ESTRUCTURAS DE DATOS;Problemas datos Colas
ESTRUCTURAS DE DATOS;Parcial
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computacional
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computadcióna.
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad logarítmica
ANÁLISIS Y DISEÑO DE ALGORITMOS;Sumatoria Finita en Java
PROGRAMACIÓN IMPERATIVA;Funciones y recursividad
PROGRAMACIÓN IMPERATIVA;Instrucciones condicionales
PROGRAMACIÓN IMPERATIVA;Dudas taller de ciclos
PROGRAMACIÓN IMPERATIVA;Dudas en C++
PROGRAMACIÓN IMPERATIVA;Dudas C++
PROGRAMACIÓN IMPERATIVA;Dudas Taller C++
PROGRAMACIÓN IMPERATIVA;Dudas funciones 
PROGRAMACIÓN IMPERATIVA;Dudas arreglos
INGENIERÍA WEB;FastAPI Introduccion
ARQUITECTURA DE SOFTWARE;Definición de conjunto de datos.
ARQUITECTURA DE SOFTWARE;Definir la arquitectura de referencia
ARQUITECTURA DE SOFTWARE;Arquitectura de datos
ARQUITECTURA DE SOFTWARE;Definición del conjunto de datos para la toma de decisiones en las costas colombianas
ARQUITECTURA DE SOFTWARE;Definicion del alcance de la aplicacion 
ARQUITECTURA DE SOFTWARE;Refinar los objetivos de la arquitectura de software
ARQUITECTURA DE SOFTWARE;Revisión de arquitectura y alcance
ARQUITECTURA DE SOFTWARE;Revisión documento final de definición y alcance
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación subgrupo en gitlab
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación de KOTLIN
PROGRAMACIÓN IMPERATIVA;Funciones y recursividad
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Proyecto integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computacional
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de Prim
ANÁLISIS Y DISEÑO DE ALGORITMOS;árbol recubridor mínimo
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teorema de Bayes
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Intents y Activities en Android
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Como escribir correctamente el objetivo general del proyecto del procesamiento de imágenes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Construcción de un dataset de memes
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Manejo de Intents para activities
CONSTRUCCIÓN DE SOFTWARE;Validación de tipos abstractos de datos para proyecto integrador.
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Encuestas para usos de herramientas Android
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;.net Framewok
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Servidor Opendaylight en docker
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Docker Servidor Asterisk 
PROGRAMACIÓN IMPERATIVA;Dudas ciclos
PROGRAMACIÓN IMPERATIVA;Dudas Taller C++
PROGRAMACIÓN IMPERATIVA;Dudas funciones
PROGRAMACIÓN IMPERATIVA;Dudas arreglos
PROGRAMACIÓN IMPERATIVA;Ciclos en C++
PROGRAMACIÓN IMPERATIVA;Funciones y recursividad
ESTRUCTURAS DE DATOS;Apuntadores
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución binomial
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Servidor DNS AWS
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Servidor SIP AWS 
ALGORITMIA Y PROGRAMACIÓN;programa VB-Excel
ESTRUCTURAS DE DATOS;Pilas 
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos prim programación dinámica
INGENIERÍA DE SOFTWARE;requerimientos
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación subgrupo gitlab
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;App
INGENIERÍA WEB;Manejo de TDA listas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Estructura del programa
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución de poisson
ALGORITMIA Y PROGRAMACIÓN;Dudas en realización de algoritmos y Visual Basic
ALGORITMIA Y PROGRAMACIÓN;VBA
ALGORITMIA Y PROGRAMACIÓN;Dudas con matrices en Visual Basic
ALGORITMIA Y PROGRAMACIÓN;Dudas matrices visual basic
PROGRAMACIÓN IMPERATIVA;Dudas C++
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;listas enlazadas
PROGRAMACIÓN IMPERATIVA;Manejo de condicional múltiple en C++
PROGRAMACIÓN IMPERATIVA;Ciclos en C++
PROGRAMACIÓN IMPERATIVA;Ciclos en c++
PROGRAMACIÓN IMPERATIVA;Matrices
PROGRAMACIÓN IMPERATIVA;Estructuras en C++
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;conceptos Java-objetos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución Normal
INGENIERÍA WEB;Determinación de Criterios de validación
INGENIERÍA WEB;Arquitectura de los objetivos 
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;creación subgrupo gitlab
INGENIERÍA WEB;Arquitectura y Persistencia
INGENIERÍA WEB;Flujo del sistema Web
INGENIERÍA WEB;Validaciones del despliegue a producción
INGENIERÍA WEB;Manual de Documentaciòn técnica
ARQUITECTURA DE SOFTWARE;Arquitectura cliente servidor orientado a capas
INGENIERÍA WEB;Especificaciones para entrega de HTML
ARQUITECTURA DE SOFTWARE;Definicion del alcance de la arquitectura a implementar
ARQUITECTURA DE SOFTWARE;Definicion del alcance y justificacion de la aplicacion ADM
ARQUITECTURA DE SOFTWARE;Definición del plan de migración a nube
PROGRAMACIÓN IMPERATIVA;Dudas C++
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución Normal
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;cadenas de markov
PROGRAMACIÓN IMPERATIVA;Proyecto integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuación característica
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
INGENIERÍA WEB;Verificación Requerimientos
INGENIERÍA WEB;Aclaración Dudas Endpoints
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Test unitarios de funcionamiento (JUnit4)
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Screen en JetPack Compose
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Acompañamiento en Jetpack compose documental
ARQUITECTURA DE SOFTWARE;Definir el alcance de la arquitectura de procesos
ARQUITECTURA DE SOFTWARE;Validación de arquitectura para proyecto de grado - motivaciones arquitecturales y atributos de calidad
PROGRAMACIÓN IMPERATIVA;Estructuras en C++
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;cadenas de Markov
INGENIERÍA WEB;Manejo de proyectos WEB en Repositorio Remoto
INGENIERÍA WEB;Seguimiento estudiante repitente
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Ajustes en gitlab
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación subgrupo gitlab
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Revisión App
PROGRAMACIÓN IMPERATIVA;Condicional múltiple en C++ 
PROGRAMACIÓN IMPERATIVA;Ciclos en C++
PROGRAMACIÓN IMPERATIVA;Ciclos en c++
PROGRAMACIÓN IMPERATIVA;Matrices
PROGRAMACIÓN IMPERATIVA;Funciones
PROGRAMACIÓN IMPERATIVA;Estructuras en C++
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Java - Objetos
ESTRUCTURAS DE DATOS;Estructuras
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;GUI
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuación característica
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
INGENIERÍA WEB;Aclaración Dudas Endpoints
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Manejo de FORK en repos online
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Verificación Log en repositorios bitbucket
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Criterios de aceptación para Compose
PROGRAMACIÓN IMPERATIVA;Dudas ciclos
PROGRAMACIÓN IMPERATIVA;Dudas Taller C++
PROGRAMACIÓN IMPERATIVA;Dudas funciones
PROGRAMACIÓN IMPERATIVA;Dudas arreglos
ALGORITMIA Y PROGRAMACIÓN;Programa de VB - Excel
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución Normal
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;cadenas de Markov
INGENIERÍA WEB;Revisión de manejo de endpoints
INGENIERÍA WEB;Requerimientos para lineamientos Gob. TI
ARQUITECTURA DE SOFTWARE;Seguimiento acerca del desempeño de la asignarura y estrategia para alcanzar un excelente puntaje 
PROGRAMACIÓN IMPERATIVA;Operaciones entre matrices
PROGRAMACIÓN IMPERATIVA;Operaciones entre matrices
ALGORITMIA Y PROGRAMACIÓN;Programa en Excel
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución normal 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
PROGRAMACIÓN IMPERATIVA;Solución de problemas
PROGRAMACIÓN IMPERATIVA;Dudas taller de ciclos
PROGRAMACIÓN IMPERATIVA;Dudas taller ciclos
PROGRAMACIÓN IMPERATIVA;Dudas taller
PROGRAMACIÓN IMPERATIVA;Dudas arreglos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución Normal
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Conversión de datos Android
PROGRAMACIÓN IMPERATIVA;Proyecto integrador
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Coniiti App
PROGRAMACIÓN IMPERATIVA;Dudas ciclos
INGENIERÍA WEB;FastAPI Introduccion
PROGRAMACIÓN IMPERATIVA;Codificación de algoritmo de cifrado en C++ 
PROGRAMACIÓN IMPERATIVA;Proyecto integrador
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
INGENIERÍA WEB;Aclaración Dudas Endpoints
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Screen en JetPack Compose
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Acompañamiento en Jetpack compose documental
PROGRAMACIÓN IMPERATIVA;Proyecto Integrador
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución normal
INGENIERÍA WEB;Orientación para propuesta de objetivos del proyecto
INGENIERÍA WEB;Requerimientos e Historias de usuarios
INGENIERÍA WEB;Determinación de Criterios de validación
INGENIERÍA WEB;Arquitectura de los objetivos 
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación subgrupo gitlab
INGENIERÍA WEB;Arquitectura y Persistencia
INGENIERÍA WEB;Flujo del Sistema Web
INGENIERÍA WEB;Validaciones del despliegue a producción
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;coniiti app
INGENIERÍA WEB;Manual de Documentaciòn técnica
PROGRAMACIÓN IMPERATIVA;Instrucciones condicionales
PROGRAMACIÓN IMPERATIVA;Dudas taller de ciclos
PROGRAMACIÓN IMPERATIVA;Dudas C++
PROGRAMACIÓN IMPERATIVA;Dudas C++
PROGRAMACIÓN IMPERATIVA;Dudas taller C++
PROGRAMACIÓN IMPERATIVA;Dudas funciones
PROGRAMACIÓN IMPERATIVA;Dudas arreglos 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución normal 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov
ARQUITECTURA DE SOFTWARE;Definir la arquitectura de referencia
ARQUITECTURA DE SOFTWARE;Definición de conjunto de datos.
ARQUITECTURA DE SOFTWARE;Arquitectura de datos para la propuesta planteada
ARQUITECTURA DE SOFTWARE;Arquitectura de datos
ARQUITECTURA DE SOFTWARE;Definición del modelo de lógica difusa
ARQUITECTURA DE SOFTWARE;Definición del conjunto de datos para la toma de decisiones en las costas colombianas
ARQUITECTURA DE SOFTWARE;Definicion del alcance y marcos de la aplicación
ARQUITECTURA DE SOFTWARE;Definición de los objetivos de la arquitectura
ALGORITMIA Y PROGRAMACIÓN;Manejo de arreglos y matrices
PROGRAMACIÓN IMPERATIVA;Cadenas en C
PROGRAMACIÓN IMPERATIVA;Dudas ciclos
CONSTRUCCIÓN DE SOFTWARE;desarrollo web
CONSTRUCCIÓN DE SOFTWARE;programación web
ARQUITECTURA DE SOFTWARE;Definición  de la arquitectura objetivo y su relación con las etapas del desarrollo de software
ARQUITECTURA DE SOFTWARE;Definición de conjunto de datos de la NASA
ARQUITECTURA DE SOFTWARE;Definicion del alcance de la arquitectura a implementar
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación de subgrupos en gitlab
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Coniiti App
PROGRAMACIÓN IMPERATIVA;Matrices en C++
PROGRAMACIÓN IMPERATIVA;Funciones en C++
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++
PROGRAMACIÓN IMPERATIVA;Recursividad
PROGRAMACIÓN IMPERATIVA;Proyecto Integrador
INGENIERÍA DE SOFTWARE;Normalización
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;creación subgrupo android
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Coniiti App
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Estructura del programa
INGENIERÍA WEB;Repositorios remotos en Gitlab
CONSTRUCCIÓN DE SOFTWARE;desarrollo web
CONSTRUCCIÓN DE SOFTWARE;programación web
ALGORITMIA Y PROGRAMACIÓN;Dudas en realización de algoritmos y Visual Basic
ANÁLISIS Y DISEÑO DE ALGORITMOS;Recurrencias y complejidad
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;recuperación parcial
CONSTRUCCIÓN DE SOFTWARE;Programación web
INGENIERÍA WEB;Análisis de Endpoints
INGENIERÍA WEB;Testing automatizado kotlin
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;acompañamiento en gitlab
PROGRAMACIÓN IMPERATIVA;Instrucciones condicionales
PROGRAMACIÓN IMPERATIVA;Dudas C++
PROGRAMACIÓN IMPERATIVA;Dudas C++
